year,month,day,land,sea
2016,1,18,15,27
2016,1,19,34,60
2016,1,20,40,41
2016,1,21,38,37
2016,1,22,36,72
2016,1,23,39,53
2016,1,24,44,60
2016,1,25,34,28
2016,1,26,54,57
2016,1,27,59,54
2016,1,28,45,46
2016,1,29,25,43
2016,1,30,38,46
2016,1,31,54,81
2016,2,1,50,89
2016,2,2,73,52
2016,2,3,67,76
2016,2,4,71,72
2016,2,5,54,64
2016,2,6,71,88
2016,2,7,56,82
2016,2,8,50,45
2016,2,9,49,80
2016,2,10,60,85
2016,2,11,81,99
2016,2,12,71,77
2016,2,13,76,99
2016,2,14,44,70
2016,2,15,49,50
2016,2,16,62,89
2016,2,17,62,99
2016,2,18,61,75
2016,2,19,57,78
2016,2,20,67,81
2016,2,21,104,124
2016,2,22,68,76
2016,2,23,74,94
2016,2,24,77,115
2016,2,25,76,111
2016,2,26,77,68
2016,2,27,127,143
2016,2,28,105,148
2016,2,29,52,64
2016,3,1,41,68
2016,3,2,56,100
2016,3,3,68,123
2016,3,4,84,127
2016,3,5,125,138
2016,3,6,81,102
2016,3,7,65,126
2016,3,8,93,128
2016,3,9,66,117
2016,3,10,57,99
2016,3,11,79,126
2016,3,12,126,155
2016,3,13,124,154
2016,3,14,67,119
2016,3,15,108,148
2016,3,16,105,163
2016,3,17,113,163
2016,3,18,102,129
2016,3,19,87,103
2016,3,20,150,149
2016,3,21,144,149
2016,3,22,122,131
2016,3,23,114,127
2016,3,24,88,108
2016,3,25,107,105
2016,3,26,124,118
2016,3,27,127,111
2016,3,28,137,134
2016,3,29,168,165
2016,3,30,168,149
2016,3,31,140,128
2016,4,1,109,106
2016,4,2,87,88
2016,4,3,108,117
2016,4,4,116,125
2016,4,5,120,118
2016,4,6,97,99
2016,4,7,24,27
2016,4,8,35,31
2016,4,9,78,75
2016,4,10,58,60
2016,4,11,31,33
2016,4,12,35,45
2016,4,13,33,19
2016,4,14,28,15
2016,4,15,37,43
2016,4,16,80,73
2016,4,17,50,56
2016,4,18,29,44
2016,4,19,34,39
2016,4,20,34,47
2016,4,21,20,33
2016,4,22,38,49
2016,4,23,67,76
2016,4,24,56,76
2016,4,25,38,43
2016,4,26,29,38
2016,4,27,24,38
2016,4,28,31,45
2016,4,29,81,88
2016,4,30,68,76
2016,5,1,59,61
2016,5,2,76,104
2016,5,3,86,108
2016,5,4,56,76
2016,5,5,41,62
2016,5,6,43,53
2016,5,7,33,45
2016,5,8,61,48
2016,5,9,28,34
2016,5,10,20,31
2016,5,11,25,42
2016,5,12,37,51
2016,5,13,44,41
2016,5,14,69,93
2016,5,15,54,84
2016,5,16,36,46
2016,5,17,23,24
2016,5,18,42,42
2016,5,19,40,39
2016,5,20,36,43
2016,5,21,76,92
2016,5,22,71,82
2016,5,23,52,62
2016,5,24,32,40
2016,5,25,34,47
2016,5,26,37,44
2016,5,27,42,67
2016,5,28,75,103
2016,5,29,75,106
2016,5,30,62,66
2016,5,31,30,36
2016,6,1,33,42
2016,6,2,49,51
2016,6,3,48,59
2016,6,4,78,111
2016,6,5,61,92
2016,6,6,63,68
2016,6,7,34,41
2016,6,8,37,44
2016,6,9,23,29
2016,6,10,37,52
2016,6,11,74,118
2016,6,12,65,91
2016,6,13,33,48
2016,6,14,33,44
2016,6,15,42,54
2016,6,16,18,42
2016,6,17,32,52
2016,6,18,59,106
2016,6,19,52,100
2016,6,20,45,63
2016,6,21,20,36
2016,6,22,30,51
2016,6,23,21,44
2016,6,24,29,43
2016,6,25,56,98
2016,6,26,56,94
2016,6,27,59,67
2016,6,28,31,37
2016,6,29,33,55
2016,6,30,27,32
2016,7,1,39,50
2016,7,2,55,98
2016,7,3,44,73
2016,7,4,35,57
2016,7,5,33,55
2016,7,6,33,54
2016,7,7,35,56
2016,7,8,32,56
2016,7,9,41,83
2016,7,10,40,61
2016,7,11,34,48
2016,7,12,37,52
2016,7,13,29,48
2016,7,14,38,48
2016,7,15,31,44
2016,7,16,55,69
2016,7,17,72,111
2016,7,18,46,59
2016,7,19,24,28
2016,7,20,21,29
2016,7,21,44,51
2016,7,22,38,53
2016,7,23,54,68
2016,7,24,48,69
2016,7,25,51,56
2016,7,26,48,48
2016,7,27,55,58
2016,7,28,52,63
2016,7,29,48,58
2016,7,30,56,72
2016,7,31,62,76
2016,8,1,56,63
2016,8,2,63,83
2016,8,3,59,83
2016,8,4,61,77
2016,8,5,53,81
2016,8,6,52,72
2016,8,7,57,80
2016,8,8,62,91
2016,8,9,59,80
2016,8,10,56,81
2016,8,11,59,82
2016,8,12,81,109
2016,8,13,63,98
2016,8,14,67,103
2016,8,15,92,142
2016,8,16,84,125
2016,8,17,66,90
2016,8,18,67,98
2016,8,19,65,94
2016,8,20,55,74
2016,8,21,62,89
2016,8,22,37,50
2016,8,23,69,83
2016,8,24,68,81
2016,8,25,68,80
2016,8,26,63,82
2016,8,27,74,89
2016,8,28,68,81
2016,8,29,56,72
2016,8,30,37,39
2016,8,31,54,65
2016,9,1,48,54
2016,9,2,38,53
2016,9,3,56,76
2016,9,4,42,52
2016,9,5,38,53
2016,9,6,42,63
2016,9,7,34,54
2016,9,8,22,31
2016,9,9,39,58
2016,9,10,51,61
2016,9,11,43,78
2016,9,12,52,71
2016,9,13,50,78
2016,9,14,42,78
2016,9,15,55,57
2016,9,16,40,53
2016,9,17,61,74
2016,9,18,107,99
2016,9,19,51,67
2016,9,20,37,46
2016,9,21,41,55
2016,9,22,44,60
2016,9,23,50,56
2016,9,24,55,65
2016,9,25,70,73
2016,9,26,65,61
2016,9,27,53,56
2016,9,28,48,59
2016,9,29,39,40
2016,9,30,44,45
2016,10,1,42,61
2016,10,2,55,53
2016,10,3,53,47
2016,10,4,45,44
2016,10,5,28,30
2016,10,6,38,37
2016,10,7,45,47
2016,10,8,70,69
2016,10,9,109,97
2016,10,10,89,79
2016,10,11,71,64
2016,10,12,48,48
2016,10,13,42,42
2016,10,14,27,62
2016,10,15,89,73
2016,10,16,70,70
2016,10,17,35,51
2016,10,18,47,55
2016,10,19,50,53
2016,10,20,51,61
2016,10,21,55,66
2016,10,22,99,98
2016,10,23,79,80
2016,10,24,63,70
2016,10,25,42,58
2016,10,26,48,55
2016,10,27,46,49
2016,10,28,50,61
2016,10,29,66,68
2016,10,30,57,59
2016,10,31,52,55
2016,11,1,56,60
2016,11,2,66,73
2016,11,3,59,72
2016,11,4,75,84
2016,11,5,89,100
2016,11,6,94,83
2016,11,7,60,62
2016,11,8,29,36
2016,11,9,33,45
2016,11,10,38,52
2016,11,11,36,46
2016,11,12,94,102
2016,11,13,101,108
2016,11,14,82,90
2016,11,15,47,53
2016,11,16,43,54
2016,11,17,42,59
2016,11,18,47,49
2016,11,19,54,92
2016,11,20,98,101
2016,11,21,77,79
2016,11,22,58,71
2016,11,23,60,78
2016,11,24,26,30
2016,11,25,28,73
2016,11,26,102,112
2016,11,27,61,83
2016,11,28,83,64
2016,11,29,39,50
2016,11,30,34,41
2016,12,1,31,37
2016,12,2,33,53
2016,12,3,90,100
2016,12,4,73,84
2016,12,5,53,49
2016,12,6,39,56
2016,12,7,45,67
2016,12,8,43,53
2016,12,9,50,58
2016,12,10,108,114
2016,12,11,84,98
2016,12,12,46,56
2016,12,13,33,54
2016,12,14,36,57
2016,12,15,51,69
2016,12,16,49,58
2016,12,17,88,95
2016,12,18,86,99
2016,12,19,51,53
2016,12,20,45,52
2016,12,21,49,52
2016,12,22,35,43
2016,12,23,90,92
2016,12,24,93,113
2016,12,25,98,108
2016,12,26,60,68
2016,12,27,38,51
2016,12,28,67,86
2016,12,29,117,165
2016,12,30,122,161
2016,12,31,57,65
2017,1,1,78,83
2017,1,2,99,110
2017,1,3,98,107
2017,1,4,103,102
2017,1,5,86,76
2017,1,6,108,83
2017,1,7,95,75
2017,1,8,57,66
2017,1,9,51,46
2017,1,10,41,54
2017,1,11,40,49
2017,1,12,43,52
2017,1,13,42,55
2017,1,14,56,71
2017,1,15,58,51
2017,1,16,19,43
2017,1,17,38,44
2017,1,18,36,62
2017,1,19,31,38
2017,1,20,31,29
2017,1,21,55,70
2017,1,22,67,77
2017,1,23,49,34
2017,1,24,34,45
2017,1,25,31,49
2017,1,26,49,50
2017,1,27,40,72
2017,1,28,61,85
2017,1,29,52,78
2017,1,30,32,36
2017,1,31,26,37
2017,2,1,52,71
2017,2,2,46,65
2017,2,3,40,81
2017,2,4,71,86
2017,2,5,33,60
2017,2,6,51,57
2017,2,7,48,67
2017,2,8,46,107
2017,2,9,29,57
2017,2,10,58,81
2017,2,11,98,118
2017,2,12,49,92
2017,2,13,45,77
2017,2,14,31,54
2017,2,15,45,87
2017,2,16,59,66
2017,2,17,68,67
2017,2,18,74,105
2017,2,19,62,99
2017,2,20,60,97
2017,2,21,59,103
2017,2,22,53,110
2017,2,23,49,67
2017,2,24,63,111
2017,2,25,92,118
2017,2,26,91,131
2017,2,27,47,90
2017,2,28,41,66
2017,3,1,37,66
2017,3,2,34,59
2017,3,3,79,116
2017,3,4,94,114
2017,3,5,75,109
2017,3,6,63,133
2017,3,7,66,121
2017,3,8,65,118
2017,3,9,67,127
2017,3,10,61,106
2017,3,11,116,139
2017,3,12,92,135
2017,3,13,98,152
2017,3,14,77,126
2017,3,15,72,124
2017,3,16,107,152
2017,3,17,87,117
2017,3,18,86,96
2017,3,19,125,131
2017,3,20,119,128
2017,3,21,73,109
2017,3,22,113,136
2017,3,23,106,115
2017,3,24,81,91
2017,3,25,111,108
2017,3,26,96,107
2017,3,27,95,111
2017,3,28,140,134
2017,3,29,136,141
2017,3,30,125,129
2017,3,31,99,113
2017,4,1,93,106
2017,4,2,123,126
2017,4,3,130,149
2017,4,4,134,138
2017,4,5,91,96
2017,4,6,86,79
2017,4,7,57,68
2017,4,8,77,75
2017,4,9,42,46
2017,4,10,36,34
2017,4,11,14,22
2017,4,12,42,53
2017,4,13,36,40
2017,4,14,48,25
2017,4,15,74,82
2017,4,16,66,67
2017,4,17,25,35
2017,4,18,24,33
2017,4,19,43,44
2017,4,20,40,37
2017,4,21,42,36
2017,4,22,71,66
2017,4,23,75,71
2017,4,24,42,47
2017,4,25,36,36
2017,4,26,27,29
2017,4,27,29,21
2017,4,28,32,42
2017,4,29,59,56
2017,4,30,46,55
2017,5,1,41,55
2017,5,2,58,91
2017,5,3,91,98
2017,5,4,115,118
2017,5,5,90,102
2017,5,6,56,59
2017,5,7,51,45
2017,5,8,29,24
2017,5,9,29,31
2017,5,10,30,36
2017,5,11,43,34
2017,5,12,41,50
2017,5,13,48,57
2017,5,14,71,73
2017,5,15,41,55
2017,5,16,36,50
2017,5,17,42,48
2017,5,18,41,44
2017,5,19,43,56
2017,5,20,85,84
2017,5,21,64,79
2017,5,22,65,70
2017,5,23,38,45
2017,5,24,36,51
2017,5,25,45,43
2017,5,26,46,63
2017,5,27,90,75
2017,5,28,79,95
2017,5,29,105,115
2017,5,30,36,39
2017,5,31,39,42
2017,6,1,40,40
2017,6,2,72,79
2017,6,3,80,83
2017,6,4,61,66
2017,6,5,67,77
2017,6,6,44,40
2017,6,7,37,37
2017,6,8,25,26
2017,6,9,43,46
2017,6,10,89,94
2017,6,11,62,75
2017,6,12,48,57
2017,6,13,26,30
2017,6,14,36,39
2017,6,15,46,67
2017,6,16,41,46
2017,6,17,70,89
2017,6,18,54,84
2017,6,19,53,61
2017,6,20,37,49
2017,6,21,14,23
2017,6,22,37,49
2017,6,23,41,44
2017,6,24,73,104
2017,6,25,51,68
2017,6,26,39,57
2017,6,27,32,45
2017,6,28,26,42
2017,6,29,36,52
2017,6,30,31,39
2017,7,1,47,69
2017,7,2,48,58
2017,7,3,43,54
2017,7,4,33,44
2017,7,5,33,42
2017,7,6,38,44
2017,7,7,44,46
2017,7,8,54,57
2017,7,9,38,44
2017,7,10,36,40
2017,7,11,40,49
2017,7,12,38,53
2017,7,13,40,47
2017,7,14,36,48
2017,7,15,48,69
2017,7,16,64,80
2017,7,17,37,57
2017,7,18,32,43
2017,7,19,32,43
2017,7,20,31,33
2017,7,21,38,45
2017,7,22,39,52
2017,7,23,41,53
2017,7,24,51,54
2017,7,25,43,49
2017,7,26,52,58
2017,7,27,58,59
2017,7,28,51,61
2017,7,29,59,79
2017,7,30,56,86
2017,7,31,55,64
2017,8,1,45,52
2017,8,2,54,74
2017,8,3,69,75
2017,8,4,61,69
2017,8,5,70,71
2017,8,6,55,73
2017,8,7,71,82
2017,8,8,50,69
2017,8,9,72,93
2017,8,10,76,97
2017,8,11,74,91
2017,8,12,71,94
2017,8,13,89,99
2017,8,14,103,132
2017,8,15,86,114
2017,8,16,75,97
2017,8,17,94,115
2017,8,18,66,91
2017,8,19,61,87
2017,8,20,57,84
2017,8,21,83,93
2017,8,22,76,90
2017,8,23,69,82
2017,8,24,65,79
2017,8,25,56,68
2017,8,26,64,76
2017,8,27,72,91
2017,8,28,77,89
2017,8,29,61,81
2017,8,30,68,86
2017,8,31,47,83
2017,9,1,45,42
2017,9,2,59,56
2017,9,3,50,62
2017,9,4,43,61
2017,9,5,53,78
2017,9,6,41,62
2017,9,7,37,61
2017,9,8,37,45
2017,9,9,56,61
2017,9,10,54,58
2017,9,11,57,79
2017,9,12,49,76
2017,9,13,48,71
2017,9,14,45,59
